venuename,teams,year,totalcost,publiccost,totalcost2020,publiccost2020,pubpct100,stadium,arena,source
Enterprise Center,St. Louis Blues,1994,170,0,297.5,0,0,0,1,"Long (2013), https://www.audacy.com/kmox/galleries/third-and-final-phase-enterprise-center-150-million-renovation-plan-underway"
Globe Life Park,Texas Rangers,1994,147,135,257.25,236.25,91.836731,1,0,Long (2013)
Progressive Field,Cleveland Guardians,1994,176,84,308,147,47.727272,1,0,"Long (2013), https://www.cleveland.com/news/2021/08/cleveland-indians-strike-435-million-public-private-deal-for-progressive-field-renovation-15-year-lease-extension.html"
Rocket Mortgage FieldHouse,Cleveland Cavaliers,1994,152,124,266,217,81.578949,0,1,"Long (2013), https://www.cleveland.com/news/2019/09/rocket-mortgage-fieldhouse-ready-for-grand-re-opening-after-185-million-transformation.html"
United Center,Chicago Bulls & Blackhawks,1994,180,0,315,0,0,0,1,Long (2013)
Coors Field,Colorado Rockies,1995,197,144,334.89999,244.8,73.096443,1,0,"Long (2013), https://ballparkdigest.com/2017/03/30/rockies-commit-to-coors-field-for-30-more-years/"
Edwards Jones Dome,St. Louis Rams,1995,300,300,510,510,100,1,0,Long (2013)
Moda Center,Portland Trail Blazers,1995,228,0,387.60001,0,0,0,1,Long (2013)
Rogers Arena,Vancouver Grizzlies & Canucks,1995,128,0,217.60001,0,0,0,1,Long (2013)
TD Garden,Boston Celtics & Bruins,1995,144,0,244.8,0,0,0,1,"Long (2013), https://www.tdgarden.com/news/detail/legendary/"
TIAA Bank Field,Jacksonville Jaguars,1995,145,132,246.5,224.39999,91.034485,1,0,"Long (2013), https://www.jaguars.com/news/stadium-history"
Amalie Arena,Tampa Bay Lightening,1996,139,96,229.35001,158.39999,69.064751,0,1,Long (2013)
Bank of America Stadium,Carolina Panthers,1996,187,0,308.54999,0,0,1,0,"Long (2013), https://www.wbtv.com/story/36058042/a-look-at-bank-of-america-stadium-upgrades-before-start-of-season/"
Bell Centre,Montreal Canadiens,1996,216,0,356.39999,0,0,0,1,"Long (2013), https://montrealgazette.com/business/local-business/bell-centre-to-receive-100m-facelift"
Bridgestone Arena,Nashville Predators,1996,144,144,237.60001,237.60001,100,0,1,"Long (2013), https://www.tennessean.com/story/sports/nhl/predators/2020/05/28/nashville-predators-nhl-season-delays-bridgestone-arena-renovations/5192804002/"
Canadian Tire Centre,Ottawa Senators,1996,136,0,224.39999,0,0,0,1,Long (2013)
KeyBank Center,Buffalo Sabres,1996,128,56,211.2,92.400002,43.75,0,1,Long (2013)
Wells Fargo Center,Philadelphia 76ers & Flyers,1996,186,0,306.89999,0,0,0,1,"Long (2013), https://www.phillyvoice.com/wells-fargo-center-bars-renovation-sixers-flyers-fall-2022-premium-seating-tickets/"
